Car,Location,Fuel,Transmission,Owner,ODO,Year,Age,Mileage,Engine,Power,Seats,CP,SP
Nissan Micra Diesel XV,Hyderabad,Diesel,Manual,First,54000,2012,11,22.27027027027027,1461.0,63.1,5.0,0.0,4.25
Maruti Alto K10 2010-2014 VXI,Hyderabad,Petrol,Manual,Second,54000,2013,10,20.92,998.0,67.1,5.0,0.0,2.75
Honda WRV i-VTEC VX,Kochi,Petrol,Manual,First,37430,2018,5,17.5,1199.0,88.7,5.0,10.57,9.9
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,Diesel,Manual,Fourth & Above,262000,2007,16,12.8,2494.0,102.0,7.0,0.0,4.0
Renault Duster 110PS Diesel RxZ Pack,Bangalore,Diesel,Manual,First,62000,2013,10,19.01,1461.0,108.45,5.0,0.0,7.75
Toyota Corolla Altis G,Delhi,Petrol,Manual,First,87615,2012,11,14.53,1798.0,138.1,5.0,0.0,6.75
Mahindra Ssangyong Rexton RX7,Bangalore,Diesel,Automatic,Second,72000,2013,10,11.18,2696.0,184.0,7.0,0.0,12.5
Audi A6 2.7 TDI,Kolkata,Diesel,Automatic,First,35000,2010,13,12.4,2698.0,179.5,5.0,0.0,11.5
Volkswagen Vento 1.6 Highline,Coimbatore,Petrol,Manual,Second,55431,2014,9,16.09,1598.0,103.5,5.0,12.33,6.98
Maruti Wagon R LXI BSIII,Jaipur,Petrol,Manual,Second,83816,2009,14,14.0,1061.0,64.0,5.0,0.0,1.85
Maruti Vitara Brezza ZDi Plus,Kochi,Diesel,Manual,First,50075,2018,5,24.3,1248.0,88.5,5.0,11.12,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,Petrol,Manual,First,52000,2017,6,18.15,1198.0,82.0,5.0,0.0,4.85
Mercedes-Benz M-Class ML 350 CDI,Pune,Diesel,Automatic,First,85000,2013,10,11.74,2987.0,254.8,5.0,0.0,28.0
Volkswagen Polo Diesel Trendline 1.2L,Chennai,Diesel,Manual,First,62000,2013,10,22.07,1199.0,73.9,5.0,0.0,5.0
Maruti Alto LXi,Delhi,Petrol,Manual,Second,90000,2008,15,19.7,796.0,46.3,5.0,0.0,1.25
Tata Nano LX SE,Kochi,Petrol,Manual,First,19698,2014,9,25.4,624.0,37.5,4.0,0.0,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,Diesel,Manual,First,22033,2017,6,25.32,1198.0,77.0,6.0,0.0,5.58
Hyundai i20 Magna Optional 1.2,Kochi,Petrol,Manual,First,35487,2014,9,18.5,1197.0,82.9,5.0,0.0,4.74
Hyundai Elantra 2.0 SX Option AT,Bangalore,Petrol,Automatic,First,46374,2014,9,14.62,1999.0,149.92,5.0,23.64,8.85
Toyota Corolla Altis G AT,Mumbai,Petrol,Automatic,First,52001,2016,7,14.28,1798.0,138.03,5.0,0.0,10.11
Hyundai Elantra CRDi,Ahmedabad,Diesel,Manual,Second,58005,2008,15,14.9,1991.0,112.2,5.0,0.0,4.25
Toyota Innova Crysta 2.7 GX MT,Bangalore,Petrol,Manual,First,70704,2012,11,11.25,2694.0,163.7,7.0,18.64,10.95
Hyundai Xcent 1.1 CRDi S,Jaipur,Diesel,Manual,First,75000,2014,9,24.4,1120.0,71.0,5.0,0.0,3.85
Mahindra Thar CRDe AC,Jaipur,Diesel,Manual,Second,75800,2012,11,16.55,2498.0,105.0,6.0,0.0,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,Diesel,Automatic,First,13648,2015,8,17.11,1968.0,174.33,5.0,0.0,21.43
Maruti Swift LDI,Delhi,Diesel,Manual,First,52000,2014,9,22.9,1248.0,74.0,5.0,0.0,4.25
Maruti Swift Ldi BSIV,Kolkata,Diesel,Manual,First,53000,2014,9,17.8,1248.0,75.0,5.0,0.0,3.3
Maruti Swift VDI,Delhi,Diesel,Manual,First,65650,2013,10,28.4,1248.0,74.0,5.0,0.0,3.85
Hyundai Grand i10 Sportz,Chennai,Petrol,Manual,Third,54000,2015,8,18.9,1197.0,82.0,5.0,0.0,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,Petrol,Manual,First,39000,2015,8,15.04,1598.0,103.2,5.0,0.0,3.99
Renault KWID RXT,Kochi,Petrol,Manual,First,16542,2017,6,25.17,799.0,53.3,5.0,0.0,3.3
Hyundai i10 Asta,Kolkata,Petrol,Manual,First,32000,2010,13,20.36,1197.0,78.9,5.0,0.0,2.07
Nissan X-Trail SLX AT,Hyderabad,Diesel,Automatic,First,121812,2010,13,12.824324324324325,1995.0,147.6,5.0,0.0,7.75
Maruti Zen Estilo VXI BSIII,Hyderabad,Petrol,Manual,First,39300,2010,13,18.2,998.0,67.1,5.0,0.0,2.25
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,Diesel,Manual,First,22000,2017,6,13.68,2393.0,147.8,8.0,19.34,16.5
Ford Figo Diesel Titanium,Bangalore,Diesel,Manual,First,72000,2010,13,20.0,1399.0,68.0,5.0,0.0,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,Petrol,Automatic,First,58000,2015,8,11.74,1796.0,186.0,5.0,0.0,26.7
Mercedes-Benz New C-Class 200 CDI Classic,Pune,Diesel,Manual,Second,65000,2011,12,15.8,2148.0,170.0,5.0,0.0,10.0
Tata Indica V2 eLS,Chennai,Diesel,Manual,First,178000,2016,7,25.0,1396.0,69.0,5.0,0.0,2.5
Audi A4 2.0 TDI Multitronic,Jaipur,Diesel,Automatic,First,65664,2012,11,16.55,1968.0,140.0,5.0,0.0,13.5
Honda City ZX CVT,Mumbai,Petrol,Automatic,Second,63000,2007,16,16.4,1497.0,78.0,5.0,0.0,1.85
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,Diesel,Automatic,First,15369,2019,4,0.0,1950.0,194.0,5.0,49.14,35.67
Maruti Ertiga SHVS VDI,Pune,Diesel,Manual,First,63000,2016,7,24.52,1248.0,88.5,7.0,0.0,8.15
Hyundai Creta 1.4 E Plus Diesel,Mumbai,Diesel,Manual,First,13000,2018,5,22.1,1396.0,88.7,5.0,11.81,10.5
Porsche Cayenne 2009-2014 Turbo,Mumbai,Petrol,Automatic,First,73000,2008,15,8.5,4806.0,500.0,5.0,0.0,14.5
Mahindra XUV500 W8 4WD,Mumbai,Diesel,Manual,First,55729,2015,8,15.1,2179.0,140.0,7.0,0.0,9.65
Hyundai i10 Sportz 1.2 AT,Kochi,Petrol,Automatic,First,45178,2012,11,16.95,1197.0,78.9,5.0,0.0,3.48
Nissan Terrano XV D Pre,Kochi,Diesel,Manual,First,56066,2015,8,19.64,1461.0,108.5,5.0,16.65,6.92
Honda Brio VX AT,Coimbatore,Petrol,Automatic,Second,37300,2016,7,16.5,1198.0,86.8,5.0,0.0,6.46
Audi A6 2.0 TDI Design Edition,Delhi,Diesel,Automatic,Second,56000,2014,9,18.53,1968.0,187.74,5.0,0.0,29.5
Toyota Innova 2.0 G1,Chennai,Petrol,Manual,Third,230000,2006,17,12.4,1998.0,132.0,8.0,0.0,4.5
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,Diesel,Manual,First,104000,2012,11,12.8,2494.0,102.0,7.0,0.0,11.75
Maruti Swift VDI,Jaipur,Diesel,Manual,First,95100,2012,11,22.9,1248.0,74.0,5.0,0.0,3.75
Tata Zest Revotron 1.2T XE,Pune,Petrol,Manual,First,70000,2017,6,17.57,1193.0,88.7,5.0,6.67,4.5
Honda Amaze SX i-VTEC,Kochi,Petrol,Manual,First,54944,2016,7,18.0,1198.0,86.7,5.0,0.0,4.82
Ford Figo Diesel ZXI,Hyderabad,Diesel,Manual,First,70337,2012,11,20.0,1399.0,68.0,5.0,0.0,2.8
Maruti Ritz VDi,Jaipur,Diesel,Manual,First,99638,2013,10,23.2,1248.0,73.94,5.0,0.0,3.11
Honda City i VTEC E,Delhi,Petrol,Manual,First,52000,2009,14,17.8,1497.0,117.3,5.0,0.0,3.25
BMW 5 Series 2003-2012 525d,Delhi,Diesel,Automatic,Second,75000,2011,12,16.73,1995.0,218.0,5.0,0.0,13.9
Hyundai i10 Sportz 1.2,Pune,Petrol,Manual,First,95980,2009,14,20.36,1197.0,78.9,5.0,0.0,2.25
Hyundai Grand i10 Sportz,Bangalore,Petrol,Manual,First,16000,2016,7,18.9,1197.0,82.0,5.0,0.0,5.75
Honda Amaze SX i-VTEC,Mumbai,Petrol,Manual,First,18949,2016,7,17.8,1198.0,86.7,5.0,0.0,5.0
Toyota Fortuner 4x2 Manual,Delhi,Diesel,Manual,First,107000,2014,9,13.0,2982.0,168.5,7.0,0.0,16.5
Audi A6 2011-2015 35 TDI Premium,Coimbatore,Diesel,Automatic,First,48367,2018,5,17.68,1968.0,174.33,5.0,0.0,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,Diesel,Manual,First,57000,2013,10,22.7,1498.0,89.84,5.0,0.0,5.5
Mahindra XUV500 W8 2WD,Delhi,Diesel,Manual,First,58000,2014,9,15.1,2179.0,140.0,7.0,0.0,8.1
Honda Amaze SX i-DTEC,Kolkata,Diesel,Manual,First,30000,2015,8,25.8,1498.0,98.6,5.0,0.0,3.5
Volkswagen Polo Diesel Highline 1.2L,Kolkata,Diesel,Manual,First,34212,2013,10,22.07,1199.0,73.9,5.0,0.0,2.79
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,Diesel,Manual,First,70002,2010,13,16.2,1493.0,110.0,5.0,0.0,3.45
Maruti Wagon R VXI BS IV,Bangalore,Petrol,Manual,First,62000,2016,7,18.9,998.0,67.1,5.0,0.0,4.45
Volkswagen Polo Petrol Highline 1.6L,Delhi,Petrol,Manual,First,62001,2010,13,15.26,1598.0,103.5,5.0,0.0,2.65
Hyundai i20 1.4 CRDi Sportz,Pune,Diesel,Manual,Second,78958,2011,12,23.0,1396.0,90.0,5.0,0.0,3.8
Hyundai i20 Asta 1.2,Mumbai,Petrol,Manual,First,30180,2014,9,18.5,1197.0,82.85,5.0,0.0,4.65
Datsun GO Plus T Petrol,Pune,Petrol,Manual,First,32851,2017,6,19.83,1198.0,67.0,7.0,6.45,3.95
Audi A4 3.0 TDI Quattro Premium,Kolkata,Diesel,Automatic,First,30000,2010,13,14.94,2967.0,241.4,5.0,0.0,9.8
Hyundai i20 2015-2017 Asta,Pune,Petrol,Manual,Second,66000,2009,14,17.0,1197.0,80.0,5.0,0.0,2.7
Maruti Omni 5 Str STD,Coimbatore,Petrol,Manual,First,93850,2010,13,14.0,796.0,35.0,5.0,0.0,2.41
Toyota Etios Liva 1.2 G,Ahmedabad,Petrol,Manual,First,53000,2014,9,17.71,1197.0,78.9,5.0,6.41,3.9
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,Diesel,Automatic,Second,78000,2011,12,14.74,2993.0,270.9,5.0,0.0,24.0
Mahindra XUV500 W8 2WD,Delhi,Diesel,Manual,Second,65000,2012,11,16.0,2179.0,140.0,7.0,0.0,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,Diesel,Automatic,First,40000,2014,9,22.32,1582.0,126.32,5.0,0.0,5.25
Toyota Innova Crysta 2.8 ZX AT,Mumbai,Diesel,Automatic,First,30000,2017,6,11.36,2755.0,171.5,7.0,27.0,19.25
Maruti Eeco 5 Seater AC,Coimbatore,Petrol,Manual,First,38053,2017,6,15.1,1196.0,73.0,5.0,5.13,3.91
Tata Nano Twist XT,Bangalore,Petrol,Manual,First,25500,2014,9,25.4,624.0,37.5,4.0,0.0,2.15
BMW 3 Series 320d Luxury Line,Mumbai,Diesel,Automatic,First,56087,2015,8,22.69,1995.0,190.0,5.0,54.43,20.75
Honda Civic 2006-2010 1.8 V MT,Delhi,Petrol,Manual,First,71088,2010,13,13.5,1799.0,130.0,5.0,0.0,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,Diesel,Manual,First,55000,2014,9,12.99,2494.0,100.6,7.0,0.0,11.11
Volvo V40 Cross Country D3,Bangalore,Diesel,Automatic,First,32700,2014,9,23.3,1984.0,150.0,5.0,0.0,20.0
Nissan Micra XV CVT,Coimbatore,Petrol,Automatic,First,39882,2016,7,19.15,1198.0,75.94,5.0,9.51,6.55
BMW 5 Series 2010-2013 525i,Mumbai,Petrol,Automatic,First,128000,2009,14,10.8,2497.0,215.0,5.0,0.0,7.0
Maruti Vitara Brezza VDi,Mumbai,Diesel,Manual,First,55000,2016,7,24.3,1248.0,88.5,5.0,9.96,7.5
Mercedes-Benz B Class B200 CDI,Pune,Diesel,Automatic,Second,53753,2014,9,15.0,2143.0,107.3,5.0,0.0,16.75
Hyundai Verna CRDi 1.6 SX Option,Kolkata,Diesel,Manual,First,10250,2018,5,22.0,1582.0,126.2,5.0,14.44,10.95
Maruti Wagon R LXI BS IV,Pune,Petrol,Manual,First,43874,2011,12,18.9,998.0,67.1,5.0,0.0,2.45
Tata Nano XTA,Coimbatore,Petrol,Automatic,First,32684,2017,6,21.9,624.0,37.48,4.0,0.0,3.23
Mahindra Scorpio VLX,Kolkata,Diesel,Manual,First,42000,2014,9,12.05,2179.0,120.0,8.0,0.0,7.75
Mercedes-Benz New C-Class 200 K AT,Kolkata,Petrol,Automatic,First,28352,2009,14,11.7,1796.0,178.0,5.0,0.0,9.35
Honda CR-V 2.4 MT,Bangalore,Petrol,Manual,Second,47700,2007,16,10.8,2354.0,152.0,5.0,0.0,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,Diesel,Automatic,First,55000,2015,8,21.21,1498.0,103.2,5.0,0.0,7.25
Maruti Ciaz VXi Plus,Kochi,Petrol,Manual,First,44285,2017,6,20.73,1373.0,91.1,5.0,0.0,7.47
Mahindra XUV500 AT W10 FWD,Jaipur,Diesel,Automatic,First,54000,2016,7,16.0,2179.0,140.0,7.0,0.0,13.25
Maruti Ritz VXI ABS,Coimbatore,Petrol,Manual,First,30232,2016,7,21.1,1197.0,85.8,5.0,0.0,5.81
Maruti Alto K10 VXI,Hyderabad,Petrol,Manual,First,88500,2014,9,24.07,998.0,67.1,5.0,4.53,2.6
Mercedes-Benz SLC 43 AMG,Kolkata,Petrol,Automatic,First,13372,2017,6,19.0,2996.0,362.07,2.0,95.04,54.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,Petrol,Automatic,First,12645,2019,4,17.0,1591.0,121.3,5.0,13.49,11.5
Maruti Alto LXi BSIII,Chennai,Petrol,Manual,Second,94385,2010,13,19.7,796.0,46.3,5.0,0.0,1.6
BMW 1 Series 118d Base,Coimbatore,Diesel,Automatic,First,31821,2015,8,20.58,1995.0,143.0,5.0,0.0,17.22
Honda Jazz 1.2 V CVT i VTEC,Mumbai,Petrol,Automatic,First,12000,2015,8,19.0,1199.0,88.7,5.0,0.0,6.0
Honda Civic 2006-2010 1.8 V MT,Delhi,Petrol,Manual,First,88578,2012,11,13.5,1799.0,130.0,5.0,0.0,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,Diesel,Automatic,First,44965,2014,9,19.27,2143.0,170.0,5.0,0.0,17.95
Honda Amaze SX i-DTEC,Kolkata,Diesel,Manual,First,45044,2014,9,25.8,1498.0,98.6,5.0,0.0,3.7
Maruti Swift VVT VXI,Kochi,Petrol,Manual,First,34204,2016,7,22.0,1197.0,81.8,5.0,0.0,5.43
Toyota Fortuner 3.0 Diesel,Coimbatore,Diesel,Manual,First,91235,2012,11,11.5,2982.0,171.0,7.0,0.0,13.49
Chevrolet Beat LT Option,Pune,Petrol,Manual,First,38800,2014,9,18.6,1199.0,76.8,5.0,0.0,2.85
Skoda Rapid 1.5 TDI Elegance,Chennai,Diesel,Manual,First,83000,2013,10,21.14,1498.0,103.52,5.0,0.0,4.75
Maruti Ciaz 1.4 Alpha,Kochi,Petrol,Manual,First,41283,2018,5,20.73,1373.0,91.1,5.0,0.0,9.9
Audi RS5 Coupe,Mumbai,Petrol,Automatic,First,23000,2013,10,11.05,2894.0,444.0,4.0,128.0,37.0
BMW 3 Series Luxury Line,Mumbai,Diesel,Automatic,First,48000,2014,9,21.76,1995.0,190.0,5.0,60.88,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,Diesel,Automatic,First,48214,2015,8,17.11,1968.0,174.33,5.0,0.0,23.32
Maruti Swift VDI,Chennai,Diesel,Manual,First,35000,2016,7,22.9,1248.0,74.0,5.0,0.0,6.25
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,Petrol,Automatic,First,35277,2010,13,7.81,5461.0,362.9,5.0,0.0,30.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,Diesel,Automatic,First,54620,2016,7,21.66,1498.0,103.52,5.0,0.0,9.86
Skoda Superb Elegance 2.0 TDI CR AT,Pune,Diesel,Automatic,First,136997,2012,11,17.2,1968.0,138.1,5.0,0.0,8.5
Hyundai EON Magna Plus,Kochi,Petrol,Manual,First,14322,2019,4,21.1,814.0,55.2,5.0,0.0,4.23
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,Diesel,Manual,First,65634,2012,11,22.07,1199.0,73.9,5.0,0.0,3.5
Datsun GO NXT,Kolkata,Petrol,Manual,First,6000,2016,7,20.63,1198.0,67.06,5.0,0.0,2.5
Honda Brio S MT,Kolkata,Petrol,Manual,First,33280,2013,10,19.4,1198.0,86.8,5.0,0.0,2.39
Mercedes-Benz B Class B180,Delhi,Petrol,Automatic,First,29000,2013,10,14.8,1595.0,120.7,5.0,0.0,11.25
Honda City i DTEC V,Kochi,Diesel,Manual,First,42831,2015,8,26.0,1498.0,98.6,5.0,0.0,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,Diesel,Manual,First,90000,2016,7,12.99,2494.0,100.6,7.0,0.0,10.9
Maruti Swift VXI Optional,Ahmedabad,Petrol,Manual,First,24005,2017,6,20.4,1197.0,81.8,5.0,0.0,6.2
Mahindra XUV500 W8 2WD,Mumbai,Diesel,Manual,First,32792,2012,11,15.1,2179.0,140.0,7.0,0.0,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,Diesel,Manual,First,147898,2014,9,22.7,1498.0,89.84,5.0,0.0,4.42
Toyota Fortuner 4x2 Manual,Mumbai,Diesel,Manual,First,131765,2012,11,13.0,2982.0,168.5,7.0,0.0,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,Diesel,Automatic,First,65000,2013,10,21.5,1498.0,108.5,5.0,0.0,6.25
Ford Figo Diesel Titanium,Jaipur,Diesel,Manual,Second,66123,2010,13,20.0,1399.0,68.0,5.0,0.0,2.1
BMW X5 xDrive 30d,Mumbai,Diesel,Automatic,First,41000,2015,8,15.3,2993.0,258.0,5.0,0.0,45.0
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,Diesel,Automatic,First,23550,2017,6,19.27,2143.0,167.62,5.0,0.0,33.66
Honda Brio V MT,Bangalore,Petrol,Manual,Second,45000,2012,11,19.4,1198.0,86.8,5.0,0.0,3.65
Hyundai i10 Magna 1.2,Delhi,Petrol,Manual,First,60000,2013,10,20.36,1197.0,78.9,5.0,0.0,2.75
Mercedes-Benz GLC 220,Bangalore,Diesel,Automatic,First,44414,2016,7,17.9,2143.0,170.0,5.0,0.0,42.5
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,Petrol,Manual,First,1000,2019,4,18.9,1197.0,81.86,5.0,7.39,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,Diesel,Automatic,Second,62500,2012,11,17.68,1968.0,174.33,5.0,0.0,19.0
Volkswagen Vento Petrol Highline AT,Mumbai,Petrol,Automatic,Second,21000,2013,10,14.4,1598.0,103.6,5.0,0.0,4.45
Mini Countryman Cooper D,Jaipur,Diesel,Automatic,Second,8525,2017,6,16.6,1998.0,112.0,5.0,0.0,23.0
Hyundai i20 Asta 1.4 CRDi,Bangalore,Diesel,Manual,First,29000,2014,9,22.54,1396.0,88.73,5.0,0.0,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,Diesel,Automatic,First,40000,2014,9,17.68,1968.0,174.33,5.0,0.0,22.95
Chevrolet Beat Diesel LT,Jaipur,Diesel,Manual,First,88000,2012,11,25.44,936.0,57.6,5.0,0.0,1.5
Skoda Superb Elegance 1.8 TSI AT,Kochi,Petrol,Automatic,First,53537,2012,11,13.7,1798.0,157.75,5.0,0.0,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,Diesel,Manual,Second,216000,2006,17,17.8,1399.0,68.0,5.0,0.0,1.45
BMW 5 Series 520d Luxury Line,Hyderabad,Diesel,Automatic,First,51000,2014,9,22.48,1995.0,190.0,5.0,69.47,33.5
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,Petrol,Manual,First,118500,2007,16,12.9,1598.0,102.5,5.0,0.0,1.25
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,Diesel,Manual,First,63000,2012,11,22.07,1199.0,73.9,5.0,0.0,4.2
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,Diesel,Manual,First,25000,2015,8,19.98,1461.0,108.5,8.0,0.0,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,Diesel,Automatic,First,37382,2014,9,13.0,2143.0,201.1,5.0,0.0,32.0
Maruti Baleno Alpha,Kochi,Petrol,Manual,First,24773,2017,6,21.4,1197.0,83.1,5.0,8.78,7.5
Hyundai Verna 1.6 SX,Delhi,Diesel,Manual,First,62000,2012,11,22.32,1582.0,126.32,5.0,0.0,4.6
Hyundai i10 Magna 1.1,Kochi,Petrol,Manual,First,52340,2017,6,19.81,1086.0,68.05,5.0,0.0,4.04
Mahindra Scorpio 1.99 S10 4WD,Kochi,Diesel,Manual,First,56739,2016,7,15.4,1997.0,120.0,7.0,0.0,10.31
Land Rover Range Rover 2.2L Dynamic,Coimbatore,Diesel,Automatic,First,36091,2018,5,12.7,2179.0,187.7,5.0,0.0,55.76
Ford Figo Diesel ZXI,Chennai,Diesel,Manual,First,120000,2010,13,20.0,1399.0,68.0,5.0,0.0,2.6
Maruti Ertiga ZDI,Mumbai,Diesel,Manual,First,33000,2016,7,25.47,1248.0,88.5,7.0,12.74,8.5
Honda Amaze S i-Dtech,Kolkata,Diesel,Manual,First,52000,2014,9,25.8,1498.0,98.6,5.0,0.0,3.5
Hyundai i10 Magna,Jaipur,Petrol,Manual,First,43571,2015,8,20.36,1197.0,78.9,5.0,0.0,3.55
Honda Amaze S i-Dtech,Kolkata,Diesel,Manual,First,50000,2013,10,25.8,1498.0,98.6,5.0,0.0,3.25
Skoda Laura Ambiente,Hyderabad,Diesel,Manual,First,113000,2008,15,17.5,1896.0,106.0,5.0,0.0,4.5
Renault Duster 85PS Diesel RxL,Delhi,Diesel,Manual,First,90000,2014,9,19.87,1461.0,83.8,5.0,0.0,5.35
Mahindra NuvoSport N6,Chennai,Diesel,Manual,Second,29000,2017,6,17.45,1493.0,100.0,7.0,10.52,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,Diesel,Manual,First,20000,2016,7,24.3,1248.0,88.5,5.0,11.98,9.0
Hyundai i20 Asta Option 1.2,Kochi,Petrol,Manual,First,61012,2016,7,18.6,1197.0,81.83,5.0,0.0,6.0
Skoda Fabia 1.4 MPI Ambiente,Jaipur,Petrol,Manual,First,87459,2009,14,14.7,1390.0,85.0,5.0,0.0,2.75
Tata Indigo eCS GLX,Pune,Petrol,Manual,First,70500,2010,13,15.64,1193.0,64.1,5.0,0.0,1.5
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,Diesel,Automatic,First,64103,2015,8,15.73,1968.0,174.33,5.0,0.0,19.9
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,Petrol,Automatic,First,76000,2014,9,14.7,1798.0,177.5,5.0,0.0,10.0
Toyota Etios Liva GD SP,Delhi,Diesel,Manual,First,104000,2014,9,23.59,1364.0,67.06,5.0,0.0,3.0
Mercedes-Benz B Class B180,Kochi,Petrol,Automatic,First,37245,2014,9,14.8,1595.0,120.7,5.0,0.0,11.96
Honda Amaze S Diesel,Kolkata,Diesel,Manual,First,45000,2013,10,27.4,1498.0,98.6,5.0,8.54,3.25
Hyundai Verna 1.6 SX,Jaipur,Diesel,Manual,Second,117837,2012,11,22.32,1582.0,126.32,5.0,0.0,4.75
Renault Duster 85PS Diesel RxL Optional,Mumbai,Diesel,Manual,First,30000,2014,9,20.46,1461.0,83.8,5.0,0.0,5.95
