Car,Location,ODO,Year,Age,Mileage,Engine,Power,Seats,CP,SP,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual,Owner_First,Owner_Fourth & Above,Owner_Second,Owner_Third
Toyota Corolla Altis G,Delhi,87615,2012,11,14.53,1798.0,138.1,5.0,0.0,6.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra Ssangyong Rexton RX7,Bangalore,72000,2013,10,11.18,2696.0,184.0,7.0,0.0,12.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Audi A6 2.7 TDI,Kolkata,35000,2010,13,12.4,2698.0,179.5,5.0,0.0,11.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Volkswagen Vento 1.6 Highline,Coimbatore,55431,2014,9,16.09,1598.0,103.5,5.0,12.33,6.98,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Maruti Wagon R LXI BSIII,Jaipur,83816,2009,14,14.0,1061.0,64.0,5.0,0.0,1.85,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Maruti Vitara Brezza ZDi Plus,Kochi,50075,2018,5,24.3,1248.0,88.5,5.0,11.12,8.63,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,52000,2017,6,18.15,1198.0,82.0,5.0,0.0,4.85,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz M-Class ML 350 CDI,Pune,85000,2013,10,11.74,2987.0,254.8,5.0,0.0,28.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Volkswagen Polo Diesel Trendline 1.2L,Chennai,62000,2013,10,22.07,1199.0,73.9,5.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Alto LXi,Delhi,90000,2008,15,19.7,796.0,46.3,5.0,0.0,1.25,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Tata Nano LX SE,Kochi,19698,2014,9,25.4,624.0,37.5,4.0,0.0,1.53,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,22033,2017,6,25.32,1198.0,77.0,6.0,0.0,5.58,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai i20 Magna Optional 1.2,Kochi,35487,2014,9,18.5,1197.0,82.9,5.0,0.0,4.74,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Elantra 2.0 SX Option AT,Bangalore,46374,2014,9,14.62,1999.0,149.92,5.0,23.64,8.85,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Toyota Corolla Altis G AT,Mumbai,52001,2016,7,14.28,1798.0,138.03,5.0,0.0,10.11,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai Elantra CRDi,Ahmedabad,58005,2008,15,14.9,1991.0,112.2,5.0,0.0,4.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Toyota Innova Crysta 2.7 GX MT,Bangalore,70704,2012,11,11.25,2694.0,163.7,7.0,18.64,10.95,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Xcent 1.1 CRDi S,Jaipur,75000,2014,9,24.4,1120.0,71.0,5.0,0.0,3.85,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra Thar CRDe AC,Jaipur,75800,2012,11,16.55,2498.0,105.0,6.0,0.0,5.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,13648,2015,8,17.11,1968.0,174.33,5.0,0.0,21.43,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift LDI,Delhi,52000,2014,9,22.9,1248.0,74.0,5.0,0.0,4.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift Ldi BSIV,Kolkata,53000,2014,9,17.8,1248.0,75.0,5.0,0.0,3.3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift VDI,Delhi,65650,2013,10,28.4,1248.0,74.0,5.0,0.0,3.85,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Grand i10 Sportz,Chennai,54000,2015,8,18.9,1197.0,82.0,5.0,0.0,3.6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,39000,2015,8,15.04,1598.0,103.2,5.0,0.0,3.99,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Renault KWID RXT,Kochi,16542,2017,6,25.17,799.0,53.3,5.0,0.0,3.3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai i10 Asta,Kolkata,32000,2010,13,20.36,1197.0,78.9,5.0,0.0,2.07,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Nissan X-Trail SLX AT,Hyderabad,121812,2010,13,12.824324324324325,1995.0,147.6,5.0,0.0,7.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Zen Estilo VXI BSIII,Hyderabad,39300,2010,13,18.2,998.0,67.1,5.0,0.0,2.25,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,22000,2017,6,13.68,2393.0,147.8,8.0,19.34,16.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Ford Figo Diesel Titanium,Bangalore,72000,2010,13,20.0,1399.0,68.0,5.0,0.0,2.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,58000,2015,8,11.74,1796.0,186.0,5.0,0.0,26.7,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Mercedes-Benz New C-Class 200 CDI Classic,Pune,65000,2011,12,15.8,2148.0,170.0,5.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Tata Indica V2 eLS,Chennai,178000,2016,7,25.0,1396.0,69.0,5.0,0.0,2.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Audi A4 2.0 TDI Multitronic,Jaipur,65664,2012,11,16.55,1968.0,140.0,5.0,0.0,13.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda City ZX CVT,Mumbai,63000,2007,16,16.4,1497.0,78.0,5.0,0.0,1.85,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,15369,2019,4,0.0,1950.0,194.0,5.0,49.14,35.67,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Ertiga SHVS VDI,Pune,63000,2016,7,24.52,1248.0,88.5,7.0,0.0,8.15,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Creta 1.4 E Plus Diesel,Mumbai,13000,2018,5,22.1,1396.0,88.7,5.0,11.81,10.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Porsche Cayenne 2009-2014 Turbo,Mumbai,73000,2008,15,8.5,4806.0,500.0,5.0,0.0,14.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Mahindra XUV500 W8 4WD,Mumbai,55729,2015,8,15.1,2179.0,140.0,7.0,0.0,9.65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai i10 Sportz 1.2 AT,Kochi,45178,2012,11,16.95,1197.0,78.9,5.0,0.0,3.48,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Nissan Terrano XV D Pre,Kochi,56066,2015,8,19.64,1461.0,108.5,5.0,16.65,6.92,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Brio VX AT,Coimbatore,37300,2016,7,16.5,1198.0,86.8,5.0,0.0,6.46,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Audi A6 2.0 TDI Design Edition,Delhi,56000,2014,9,18.53,1968.0,187.74,5.0,0.0,29.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Toyota Innova 2.0 G1,Chennai,230000,2006,17,12.4,1998.0,132.0,8.0,0.0,4.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,104000,2012,11,12.8,2494.0,102.0,7.0,0.0,11.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift VDI,Jaipur,95100,2012,11,22.9,1248.0,74.0,5.0,0.0,3.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Tata Zest Revotron 1.2T XE,Pune,70000,2017,6,17.57,1193.0,88.7,5.0,6.67,4.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Amaze SX i-VTEC,Kochi,54944,2016,7,18.0,1198.0,86.7,5.0,0.0,4.82,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Ford Figo Diesel ZXI,Hyderabad,70337,2012,11,20.0,1399.0,68.0,5.0,0.0,2.8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Ritz VDi,Jaipur,99638,2013,10,23.2,1248.0,73.94,5.0,0.0,3.11,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda City i VTEC E,Delhi,52000,2009,14,17.8,1497.0,117.3,5.0,0.0,3.25,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
BMW 5 Series 2003-2012 525d,Delhi,75000,2011,12,16.73,1995.0,218.0,5.0,0.0,13.9,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Hyundai i10 Sportz 1.2,Pune,95980,2009,14,20.36,1197.0,78.9,5.0,0.0,2.25,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Grand i10 Sportz,Bangalore,16000,2016,7,18.9,1197.0,82.0,5.0,0.0,5.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Amaze SX i-VTEC,Mumbai,18949,2016,7,17.8,1198.0,86.7,5.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Fortuner 4x2 Manual,Delhi,107000,2014,9,13.0,2982.0,168.5,7.0,0.0,16.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Audi A6 2011-2015 35 TDI Premium,Coimbatore,48367,2018,5,17.68,1968.0,174.33,5.0,0.0,39.58,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,57000,2013,10,22.7,1498.0,89.84,5.0,0.0,5.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra XUV500 W8 2WD,Delhi,58000,2014,9,15.1,2179.0,140.0,7.0,0.0,8.1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Amaze SX i-DTEC,Kolkata,30000,2015,8,25.8,1498.0,98.6,5.0,0.0,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Polo Diesel Highline 1.2L,Kolkata,34212,2013,10,22.07,1199.0,73.9,5.0,0.0,2.79,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,70002,2010,13,16.2,1493.0,110.0,5.0,0.0,3.45,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Wagon R VXI BS IV,Bangalore,62000,2016,7,18.9,998.0,67.1,5.0,0.0,4.45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Polo Petrol Highline 1.6L,Delhi,62001,2010,13,15.26,1598.0,103.5,5.0,0.0,2.65,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai i20 1.4 CRDi Sportz,Pune,78958,2011,12,23.0,1396.0,90.0,5.0,0.0,3.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Hyundai i20 Asta 1.2,Mumbai,30180,2014,9,18.5,1197.0,82.85,5.0,0.0,4.65,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Datsun GO Plus T Petrol,Pune,32851,2017,6,19.83,1198.0,67.0,7.0,6.45,3.95,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Audi A4 3.0 TDI Quattro Premium,Kolkata,30000,2010,13,14.94,2967.0,241.4,5.0,0.0,9.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai i20 2015-2017 Asta,Pune,66000,2009,14,17.0,1197.0,80.0,5.0,0.0,2.7,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Maruti Omni 5 Str STD,Coimbatore,93850,2010,13,14.0,796.0,35.0,5.0,0.0,2.41,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Etios Liva 1.2 G,Ahmedabad,53000,2014,9,17.71,1197.0,78.9,5.0,6.41,3.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,78000,2011,12,14.74,2993.0,270.9,5.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Mahindra XUV500 W8 2WD,Delhi,65000,2012,11,16.0,2179.0,140.0,7.0,0.0,5.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,40000,2014,9,22.32,1582.0,126.32,5.0,0.0,5.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Toyota Innova Crysta 2.8 ZX AT,Mumbai,30000,2017,6,11.36,2755.0,171.5,7.0,27.0,19.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Eeco 5 Seater AC,Coimbatore,38053,2017,6,15.1,1196.0,73.0,5.0,5.13,3.91,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Tata Nano Twist XT,Bangalore,25500,2014,9,25.4,624.0,37.5,4.0,0.0,2.15,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
BMW 3 Series 320d Luxury Line,Mumbai,56087,2015,8,22.69,1995.0,190.0,5.0,54.43,20.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda Civic 2006-2010 1.8 V MT,Delhi,71088,2010,13,13.5,1799.0,130.0,5.0,0.0,3.35,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,55000,2014,9,12.99,2494.0,100.6,7.0,0.0,11.11,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Volvo V40 Cross Country D3,Bangalore,32700,2014,9,23.3,1984.0,150.0,5.0,0.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Nissan Micra XV CVT,Coimbatore,39882,2016,7,19.15,1198.0,75.94,5.0,9.51,6.55,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
BMW 5 Series 2010-2013 525i,Mumbai,128000,2009,14,10.8,2497.0,215.0,5.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Vitara Brezza VDi,Mumbai,55000,2016,7,24.3,1248.0,88.5,5.0,9.96,7.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz B Class B200 CDI,Pune,53753,2014,9,15.0,2143.0,107.3,5.0,0.0,16.75,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Hyundai Verna CRDi 1.6 SX Option,Kolkata,10250,2018,5,22.0,1582.0,126.2,5.0,14.44,10.95,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Wagon R LXI BS IV,Pune,43874,2011,12,18.9,998.0,67.1,5.0,0.0,2.45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Tata Nano XTA,Coimbatore,32684,2017,6,21.9,624.0,37.48,4.0,0.0,3.23,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Mahindra Scorpio VLX,Kolkata,42000,2014,9,12.05,2179.0,120.0,8.0,0.0,7.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz New C-Class 200 K AT,Kolkata,28352,2009,14,11.7,1796.0,178.0,5.0,0.0,9.35,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda CR-V 2.4 MT,Bangalore,47700,2007,16,10.8,2354.0,152.0,5.0,0.0,5.25,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,55000,2015,8,21.21,1498.0,103.2,5.0,0.0,7.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Ciaz VXi Plus,Kochi,44285,2017,6,20.73,1373.0,91.1,5.0,0.0,7.47,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra XUV500 AT W10 FWD,Jaipur,54000,2016,7,16.0,2179.0,140.0,7.0,0.0,13.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Ritz VXI ABS,Coimbatore,30232,2016,7,21.1,1197.0,85.8,5.0,0.0,5.81,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Alto K10 VXI,Hyderabad,88500,2014,9,24.07,998.0,67.1,5.0,4.53,2.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz SLC 43 AMG,Kolkata,13372,2017,6,19.0,2996.0,362.07,2.0,95.04,54.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,12645,2019,4,17.0,1591.0,121.3,5.0,13.49,11.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Alto LXi BSIII,Chennai,94385,2010,13,19.7,796.0,46.3,5.0,0.0,1.6,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
BMW 1 Series 118d Base,Coimbatore,31821,2015,8,20.58,1995.0,143.0,5.0,0.0,17.22,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda Jazz 1.2 V CVT i VTEC,Mumbai,12000,2015,8,19.0,1199.0,88.7,5.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda Civic 2006-2010 1.8 V MT,Delhi,88578,2012,11,13.5,1799.0,130.0,5.0,0.0,3.95,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,44965,2014,9,19.27,2143.0,170.0,5.0,0.0,17.95,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda Amaze SX i-DTEC,Kolkata,45044,2014,9,25.8,1498.0,98.6,5.0,0.0,3.7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift VVT VXI,Kochi,34204,2016,7,22.0,1197.0,81.8,5.0,0.0,5.43,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Fortuner 3.0 Diesel,Coimbatore,91235,2012,11,11.5,2982.0,171.0,7.0,0.0,13.49,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Chevrolet Beat LT Option,Pune,38800,2014,9,18.6,1199.0,76.8,5.0,0.0,2.85,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Skoda Rapid 1.5 TDI Elegance,Chennai,83000,2013,10,21.14,1498.0,103.52,5.0,0.0,4.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Ciaz 1.4 Alpha,Kochi,41283,2018,5,20.73,1373.0,91.1,5.0,0.0,9.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Audi RS5 Coupe,Mumbai,23000,2013,10,11.05,2894.0,444.0,4.0,128.0,37.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
BMW 3 Series Luxury Line,Mumbai,48000,2014,9,21.76,1995.0,190.0,5.0,60.88,26.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,48214,2015,8,17.11,1968.0,174.33,5.0,0.0,23.32,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift VDI,Chennai,35000,2016,7,22.9,1248.0,74.0,5.0,0.0,6.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,35277,2010,13,7.81,5461.0,362.9,5.0,0.0,30.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,54620,2016,7,21.66,1498.0,103.52,5.0,0.0,9.86,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Skoda Superb Elegance 2.0 TDI CR AT,Pune,136997,2012,11,17.2,1968.0,138.1,5.0,0.0,8.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai EON Magna Plus,Kochi,14322,2019,4,21.1,814.0,55.2,5.0,0.0,4.23,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,65634,2012,11,22.07,1199.0,73.9,5.0,0.0,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Datsun GO NXT,Kolkata,6000,2016,7,20.63,1198.0,67.06,5.0,0.0,2.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Brio S MT,Kolkata,33280,2013,10,19.4,1198.0,86.8,5.0,0.0,2.39,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz B Class B180,Delhi,29000,2013,10,14.8,1595.0,120.7,5.0,0.0,11.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda City i DTEC V,Kochi,42831,2015,8,26.0,1498.0,98.6,5.0,0.0,7.11,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,90000,2016,7,12.99,2494.0,100.6,7.0,0.0,10.9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift VXI Optional,Ahmedabad,24005,2017,6,20.4,1197.0,81.8,5.0,0.0,6.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
