ODO,Year,Age,Mileage,Engine,Power,Seats,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual,Owner_First,Owner_Fourth & Above,Owner_Second,Owner_Third,Price_Category
54000,2012,11,22.27027027027027,1461.0,63.1,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
54000,2013,10,20.92,998.0,67.1,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
37430,2018,5,17.5,1199.0,88.7,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
262000,2007,16,12.8,2494.0,102.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
62000,2013,10,19.01,1461.0,108.45,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
87615,2012,11,14.53,1798.0,138.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
72000,2013,10,11.18,2696.0,184.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
35000,2010,13,12.4,2698.0,179.5,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
55431,2014,9,16.09,1598.0,103.5,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
83816,2009,14,14.0,1061.0,64.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
50075,2018,5,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
52000,2017,6,18.15,1198.0,82.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
85000,2013,10,11.74,2987.0,254.8,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
62000,2013,10,22.07,1199.0,73.9,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
90000,2008,15,19.7,796.0,46.3,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
19698,2014,9,25.4,624.0,37.5,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
22033,2017,6,25.32,1198.0,77.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
35487,2014,9,18.5,1197.0,82.9,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
46374,2014,9,14.62,1999.0,149.92,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
52001,2016,7,14.28,1798.0,138.03,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
58005,2008,15,14.9,1991.0,112.2,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
70704,2012,11,11.25,2694.0,163.7,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
75000,2014,9,24.4,1120.0,71.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
75800,2012,11,16.55,2498.0,105.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
13648,2015,8,17.11,1968.0,174.33,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
52000,2014,9,22.9,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53000,2014,9,17.8,1248.0,75.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
65650,2013,10,28.4,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
54000,2015,8,18.9,1197.0,82.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
39000,2015,8,15.04,1598.0,103.2,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
16542,2017,6,25.17,799.0,53.3,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
32000,2010,13,20.36,1197.0,78.9,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
121812,2010,13,12.824324324324325,1995.0,147.6,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
39300,2010,13,18.2,998.0,67.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
22000,2017,6,13.68,2393.0,147.8,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
72000,2010,13,20.0,1399.0,68.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
58000,2015,8,11.74,1796.0,186.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
65000,2011,12,15.8,2148.0,170.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
178000,2016,7,25.0,1396.0,69.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
65664,2012,11,16.55,1968.0,140.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
63000,2007,16,16.4,1497.0,78.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
15369,2019,4,0.0,1950.0,194.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
63000,2016,7,24.52,1248.0,88.5,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
13000,2018,5,22.1,1396.0,88.7,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
73000,2008,15,8.5,4806.0,500.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
55729,2015,8,15.1,2179.0,140.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
45178,2012,11,16.95,1197.0,78.9,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
56066,2015,8,19.64,1461.0,108.5,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
37300,2016,7,16.5,1198.0,86.8,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
56000,2014,9,18.53,1968.0,187.74,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
230000,2006,17,12.4,1998.0,132.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
104000,2012,11,12.8,2494.0,102.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
95100,2012,11,22.9,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
70000,2017,6,17.57,1193.0,88.7,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
54944,2016,7,18.0,1198.0,86.7,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
70337,2012,11,20.0,1399.0,68.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
99638,2013,10,23.2,1248.0,73.94,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
52000,2009,14,17.8,1497.0,117.3,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
75000,2011,12,16.73,1995.0,218.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
95980,2009,14,20.36,1197.0,78.9,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
16000,2016,7,18.9,1197.0,82.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
18949,2016,7,17.8,1198.0,86.7,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
107000,2014,9,13.0,2982.0,168.5,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
48367,2018,5,17.68,1968.0,174.33,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
57000,2013,10,22.7,1498.0,89.84,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
58000,2014,9,15.1,2179.0,140.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
30000,2015,8,25.8,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
34212,2013,10,22.07,1199.0,73.9,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
70002,2010,13,16.2,1493.0,110.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
62000,2016,7,18.9,998.0,67.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
62001,2010,13,15.26,1598.0,103.5,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
78958,2011,12,23.0,1396.0,90.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30180,2014,9,18.5,1197.0,82.85,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
32851,2017,6,19.83,1198.0,67.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
30000,2010,13,14.94,2967.0,241.4,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
66000,2009,14,17.0,1197.0,80.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
93850,2010,13,14.0,796.0,35.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53000,2014,9,17.71,1197.0,78.9,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
78000,2011,12,14.74,2993.0,270.9,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
65000,2012,11,16.0,2179.0,140.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
40000,2014,9,22.32,1582.0,126.32,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
30000,2017,6,11.36,2755.0,171.5,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
38053,2017,6,15.1,1196.0,73.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
25500,2014,9,25.4,624.0,37.5,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
56087,2015,8,22.69,1995.0,190.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
71088,2010,13,13.5,1799.0,130.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
55000,2014,9,12.99,2494.0,100.6,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
32700,2014,9,23.3,1984.0,150.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
39882,2016,7,19.15,1198.0,75.94,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
128000,2009,14,10.8,2497.0,215.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
55000,2016,7,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53753,2014,9,15.0,2143.0,107.3,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
10250,2018,5,22.0,1582.0,126.2,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
43874,2011,12,18.9,998.0,67.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
32684,2017,6,21.9,624.0,37.48,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
42000,2014,9,12.05,2179.0,120.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
28352,2009,14,11.7,1796.0,178.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
47700,2007,16,10.8,2354.0,152.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
55000,2015,8,21.21,1498.0,103.2,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44285,2017,6,20.73,1373.0,91.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
54000,2016,7,16.0,2179.0,140.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
30232,2016,7,21.1,1197.0,85.8,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
88500,2014,9,24.07,998.0,67.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
13372,2017,6,19.0,2996.0,362.07,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
12645,2019,4,17.0,1591.0,121.3,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
94385,2010,13,19.7,796.0,46.3,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
31821,2015,8,20.58,1995.0,143.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
12000,2015,8,19.0,1199.0,88.7,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
88578,2012,11,13.5,1799.0,130.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
44965,2014,9,19.27,2143.0,170.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
45044,2014,9,25.8,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
34204,2016,7,22.0,1197.0,81.8,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
91235,2012,11,11.5,2982.0,171.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
38800,2014,9,18.6,1199.0,76.8,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
83000,2013,10,21.14,1498.0,103.52,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
41283,2018,5,20.73,1373.0,91.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
23000,2013,10,11.05,2894.0,444.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
48000,2014,9,21.76,1995.0,190.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
48214,2015,8,17.11,1968.0,174.33,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
35000,2016,7,22.9,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
35277,2010,13,7.81,5461.0,362.9,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
54620,2016,7,21.66,1498.0,103.52,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
136997,2012,11,17.2,1968.0,138.1,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
14322,2019,4,21.1,814.0,55.2,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
65634,2012,11,22.07,1199.0,73.9,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
6000,2016,7,20.63,1198.0,67.06,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
33280,2013,10,19.4,1198.0,86.8,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
29000,2013,10,14.8,1595.0,120.7,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
42831,2015,8,26.0,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
90000,2016,7,12.99,2494.0,100.6,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
24005,2017,6,20.4,1197.0,81.8,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
32792,2012,11,15.1,2179.0,140.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
147898,2014,9,22.7,1498.0,89.84,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
131765,2012,11,13.0,2982.0,168.5,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
65000,2013,10,21.5,1498.0,108.5,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
66123,2010,13,20.0,1399.0,68.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
41000,2015,8,15.3,2993.0,258.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
23550,2017,6,19.27,2143.0,167.62,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
45000,2012,11,19.4,1198.0,86.8,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
60000,2013,10,20.36,1197.0,78.9,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
44414,2016,7,17.9,2143.0,170.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
1000,2019,4,18.9,1197.0,81.86,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
62500,2012,11,17.68,1968.0,174.33,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
21000,2013,10,14.4,1598.0,103.6,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
8525,2017,6,16.6,1998.0,112.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
29000,2014,9,22.54,1396.0,88.73,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
40000,2014,9,17.68,1968.0,174.33,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
88000,2012,11,25.44,936.0,57.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53537,2012,11,13.7,1798.0,157.75,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
216000,2006,17,17.8,1399.0,68.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
51000,2014,9,22.48,1995.0,190.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
118500,2007,16,12.9,1598.0,102.5,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
63000,2012,11,22.07,1199.0,73.9,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
25000,2015,8,19.98,1461.0,108.5,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
37382,2014,9,13.0,2143.0,201.1,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
24773,2017,6,21.4,1197.0,83.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
62000,2012,11,22.32,1582.0,126.32,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
52340,2017,6,19.81,1086.0,68.05,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
56739,2016,7,15.4,1997.0,120.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
36091,2018,5,12.7,2179.0,187.7,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
120000,2010,13,20.0,1399.0,68.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
33000,2016,7,25.47,1248.0,88.5,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
52000,2014,9,25.8,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
43571,2015,8,20.36,1197.0,78.9,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
50000,2013,10,25.8,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
113000,2008,15,17.5,1896.0,106.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
90000,2014,9,19.87,1461.0,83.8,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
29000,2017,6,17.45,1493.0,100.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
20000,2016,7,24.3,1248.0,88.5,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
61012,2016,7,18.6,1197.0,81.83,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
87459,2009,14,14.7,1390.0,85.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
70500,2010,13,15.64,1193.0,64.1,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
64103,2015,8,15.73,1968.0,174.33,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
76000,2014,9,14.7,1798.0,177.5,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
104000,2014,9,23.59,1364.0,67.06,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
37245,2014,9,14.8,1595.0,120.7,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
45000,2013,10,27.4,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
117837,2012,11,22.32,1582.0,126.32,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30000,2014,9,20.46,1461.0,83.8,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
27057,2015,8,15.29,1591.0,121.3,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
8500,2016,7,20.51,998.0,67.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
30500,2010,13,11.74,1796.0,186.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
56000,2012,11,11.8,2967.0,246.7,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44000,2012,11,19.81,1086.0,68.05,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
10500,2017,6,14.3,1598.0,103.52,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
26000,2017,6,14.67,1798.0,177.46,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
25166,2018,5,17.19,1197.0,81.86,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
64000,2014,9,25.8,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
61000,2004,19,18.9,998.0,67.1,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
107000,2013,10,21.03,1461.0,65.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
29161,2018,5,19.27,2143.0,167.62,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
32000,2013,10,22.5,998.0,67.04,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
46173,2015,8,19.01,1461.0,108.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
26327,2017,6,16.82,1998.0,189.08,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
200000,2007,16,17.2,1396.0,53.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
60813,2016,7,18.6,1199.0,76.8,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
45000,2012,11,22.07,1199.0,73.9,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
64000,2016,7,22.9,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
41284,2012,11,20.0,1399.0,68.05,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
14165,2019,4,11.36,2755.0,171.5,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
67000,2011,12,11.72,2199.0,194.3,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
32572,2011,12,17.4,1497.0,117.3,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
14960,2018,5,18.6,1197.0,81.83,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
55980,2015,8,19.27,2143.0,167.62,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
74000,2013,10,25.44,936.0,57.6,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
56847,2015,8,22.54,1396.0,88.73,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
121374,2015,8,12.99,2494.0,100.6,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
52000,2013,10,20.77,1248.0,88.76,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
118000,2014,9,12.8,2494.0,102.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
